frame,x,y,confidence
0,834,309,0.9997653365135193
1,834,309,0.9997676014900208
2,834,309,0.9997722506523132
3,834,309,0.9997861981391907
4,834,309,0.9997901320457458
5,834,309,0.9997960925102234
6,834,309,0.9998056292533875
7,834,309,0.999808132648468
8,834,309,0.9998145699501038
9,354,333,0.9998125433921814
10,354,333,0.9998308420181274
11,354,333,0.9997963309288025
12,354,333,0.9998123049736023
13,354,333,0.9998179078102112
14,354,333,0.9998213648796082
15,354,333,0.9998244643211365
16,354,333,0.9998459815979004
17,786,309,0.9998447895050049
18,810,309,0.9997383952140808
19,810,309,0.9997661709785461
20,810,309,0.99979168176651
21,786,309,0.9997778534889221
22,786,309,0.9997785687446594
23,378,333,0.9997702240943909
24,378,333,0.9997877478599548
25,378,333,0.9998051524162292
26,378,333,0.9998088479042053
27,378,333,0.9998037219047546
28,786,309,0.9997960925102234
29,786,309,0.9997878670692444
30,786,309,0.9997839331626892
31,786,309,0.9997739195823669
32,786,309,0.9997794032096863
33,1674,333,0.9997816681861877
34,402,333,0.9997522234916687
35,402,333,0.9997803568840027
36,402,333,0.999794065952301
37,402,333,0.9997864365577698
38,210,117,0.9998069405555725
39,402,333,0.9997723698616028
40,1698,333,0.9997709393501282
41,1698,333,0.9997588992118835
42,306,357,0.9997432827949524
43,426,333,0.9997729659080505
44,426,333,0.99978107213974
45,426,333,0.9997910857200623
46,426,333,0.9998111128807068
47,426,333,0.9998136162757874
48,426,333,0.9998142123222351
49,426,333,0.999817430973053
50,426,333,0.999821126461029
51,426,333,0.9998136162757874
52,306,357,0.9998341798782349
53,306,357,0.9998430013656616
54,306,357,0.9998500347137451
55,306,357,0.9998326301574707
56,306,357,0.9998311996459961
57,306,357,0.9997907280921936
58,306,357,0.9997796416282654
59,1218,333,0.9998086094856262
60,1218,333,0.9998014569282532
61,570,261,0.999792754650116
62,1194,333,0.9997884631156921
63,1194,333,0.9997972846031189
64,330,357,0.9998003840446472
65,330,357,0.9998083710670471
66,330,357,0.9998154044151306
67,330,357,0.9998074173927307
68,330,357,0.9997929930686951
69,1146,333,0.999790608882904
70,1122,333,0.9997780919075012
71,1122,333,0.9997691512107849
72,1122,333,0.9997405409812927
73,1074,333,0.9997531771659851
74,1074,333,0.9997828602790833
75,1074,333,0.9997863173484802
76,144,741,0.9998194575309753
77,186,741,0.9998754262924194
78,186,741,0.9998904466629028
79,186,741,0.9998903274536133
80,186,741,0.9998903274536133
81,186,741,0.9998902082443237
82,186,741,0.9998904466629028
83,186,741,0.9998905658721924
84,186,741,0.9998904466629028
85,186,741,0.9998906850814819
86,186,741,0.9998915195465088
87,186,741,0.9998905658721924
88,186,741,0.9998906850814819
89,186,741,0.9998910427093506
90,186,741,0.9998917579650879
91,186,741,0.9998911619186401
92,186,741,0.9998914003372192
93,186,741,0.9998910427093506
94,186,741,0.9998906850814819
95,186,741,0.9998912811279297
96,186,741,0.9998914003372192
97,186,741,0.9998911619186401
98,186,741,0.9998912811279297
99,186,741,0.9998914003372192
100,186,741,0.9998916387557983
101,186,741,0.9998914003372192
102,186,741,0.9998918771743774
103,186,741,0.9998914003372192
104,186,741,0.9998910427093506
105,186,741,0.9998910427093506
106,186,741,0.9998906850814819
107,186,741,0.9998903274536133
108,186,741,0.999889612197876
109,186,741,0.9998905658721924
110,186,741,0.9998898506164551
111,186,741,0.9998912811279297
112,186,741,0.9998914003372192
113,186,741,0.9998915195465088
114,186,741,0.9998916387557983
115,186,741,0.999891996383667
116,186,741,0.9998906850814819
117,186,741,0.9998910427093506
118,186,741,0.999890923500061
119,186,741,0.9998912811279297
120,186,741,0.9998916387557983
121,186,741,0.9998922348022461
122,186,741,0.9998916387557983
123,186,741,0.9998922348022461
124,186,741,0.9998918771743774
125,186,741,0.9998929500579834
126,186,741,0.9998925924301147
127,186,741,0.9998910427093506
128,186,741,0.999886155128479
129,186,741,0.9998855590820312
130,186,741,0.9998904466629028
131,186,741,0.9998894929885864
132,186,741,0.9998908042907715
133,186,741,0.9998914003372192
134,186,741,0.9998917579650879
135,186,741,0.9998918771743774
136,186,741,0.9998918771743774
137,186,741,0.9998914003372192
138,186,741,0.999891996383667
139,186,741,0.999893069267273
140,186,741,0.9998929500579834
141,186,741,0.9998924732208252
142,186,741,0.9998929500579834
143,186,741,0.9998911619186401
144,186,741,0.9998908042907715
145,186,741,0.9998904466629028
146,186,741,0.999890923500061
147,186,741,0.9998916387557983
148,186,741,0.9998918771743774
149,186,741,0.9998914003372192
